trade_id,account_key,instrument_id,action,quantity,price,creation_date
5b66cb3a-be95-44d9-8df1-c6bec7123038,c2e76cdc-0d5b-43f0-8fe8-cd83cf1ca5a3,,SELL,122,6.75,2022-02-25 08:45:08.795960
1727b02c-14a3-43df-9174-71f60bdf16d2,0acb3b51-5004-4f52-a0ed-4b0cd59298f9,STOCK,SELL,179,104.49,2022-02-25 08:00:08.795960
7b82b6e7-c25d-429e-9bb5-72e35cd67870,5c80fa5b-65b0-4a36-8689-82bd5d56595c,STOCK,BUY,125,40.89,2022-02-25 08:50:08.795960
068d1eff-ab3a-4bfb-bb37-23aa535ff0ca,41b9a957-aff8-4303-a099-84bd32051c57,STOCK,BUY,,32.32,2022-02-25 09:03:08.795960
9efc5481-c56b-446f-82ee-0c6bb1078355,40c70531-64a1-4fd4-9493-ba36f8970656,STOCK,BUY,103,137.39,2022-02-25 10:06:08.795960
538915ed-937e-49fa-a4a1-f8bcb14743ad,145ce4b3-7ad2-44ba-8f18-cf2a0ebd9ae2,STOCK,SELL,25,61.39,
8d81b268-3dc5-4fec-8d55-33d8483f06cf,29f12fc0-e62b-4342-8608-1cf1db9bf478,STOCK,SELL,103,241.96,2022-02-25 08:32:08.795960
2df7295d-1721-4ad9-8cd7-2c7a6b20400f,aeb73daf-3aae-432c-8e03-6f41950aa08f,STOCK,BUY,52,,2022-02-25 09:44:08.795960
2ad64685-40f7-4162-bab7-dd00c3ede57b,b736a5e6-f2ab-40f2-976c-2cb2bd53a938,STOCK,SELL,168,138.98,2022-02-25 09:42:08.795960
e540d668-76a8-4db3-8ccf-064ffb92c096,75cfc44a-f907-4bb9-9b87-08c392ef4222,CALL,SELL,10,170.52,2022-02-25 09:46:08.795960
3b510976-9594-47b4-9706-f45905bb19a3,f6ca9ccc-9232-4453-a1b3-6309151b04d8,CALL,SELL,30,120.87,2022-02-25 07:27:08.795960
6ed4a8cd-8552-4459-806e-8e46729d3736,32a34226-6a8e-4ec0-b884-0c219f716301,STOCK,SELL,151,241.66,2022-02-25 09:08:08.795960
a09cb715-c74e-4ee3-8912-9c968a44dbfe,06030061-bb39-4526-91a0-e379782b68b4,PUT,BUY,47,198.71,2022-02-25 07:30:08.795960
