trade_id,account_key,instrument_id,action,quantity,price,creation_date
6c1a5910-7251-4fa6-befb-7cf9baea66b0,9a3bb9ef-f489-4e8a-b288-8828d3984871,STOCK,BUY,163,156.24,2022-02-08 12:50:48.515780
48e85014-7c60-4b9d-9591-46b81aa96325,bdc233ef-745b-4f84-b57c-be802fdf8b56,PUT,BUY,191,89.58,2022-02-08 12:50:48.515780
9dbb3c14-871b-4958-89a8-78babfffc1b1,7860832e-25a9-4479-8457-748527e2b479,STOCK,BUY,164,169.33,2022-02-08 12:35:48.515780
87f2226a-31d7-4ac5-9d92-50a016be07b4,e1820d1e-daa4-4be4-9f82-08a53efbb14d,STOCK,BUY,173,246.6,2022-02-08 11:47:48.515780
faed376a-be96-44c2-be07-ee2dade6cfcb,ff54cb15-4481-46ba-8ada-a7f6a3937bf2,DIVIDEND,BUY,46,64.97,2022-02-08 12:17:48.515780
6f5f6bbf-5bc7-4172-bc85-0ad1716e0f43,74941e74-9510-4010-9e3b-cf78dd32a716,DIVIDEND,BUY,19,56.38,2022-02-08 10:08:48.515780
e292e2fe-cce1-4947-90d0-c4946a0bed30,722ccc05-9237-464c-812f-e872a94d8109,PUT,SELL,33,7.41,2022-02-08 10:42:48.515780
64c26781-2699-45a1-b459-2b6aa230cf5f,c0d7a560-76d9-4e69-92c7-439500ff3d97,DIVIDEND,SELL,159,28.39,2022-02-08 12:19:48.515780
b5a4f6a9-5495-4adb-be1c-8fb874ffb60b,f9a6c4fc-cf96-487f-9fd5-991093d0af84,STOCK,SELL,108,95.51,2022-02-08 10:17:48.515780
00de295b-77cc-430b-b82d-1cf6f4f9b13d,db600421-394a-43f3-8863-cbaf08016d19,DIVIDEND,SELL,38,89.15,2022-02-08 12:51:48.515780
